Student ID,Assigned Project,Matched Preference Rank,OutOfList,Rank Note
9653507,P016,6,1,Worst (not in list)
9653508,P021,1,0,
9653509,P011,1,0,
9653510,P010,5,0,
9653511,P031,3,0,
9653512,P032,4,0,
9653513,P010,1,0,
9653514,P026,6,1,Worst (not in list)
9653515,P021,4,0,
9653516,P029,2,0,
9653517,P037,5,0,
9653518,P019,3,0,
9653519,P035,2,0,
9653520,P016,6,1,Worst (not in list)
9653521,P027,4,0,
9653522,P023,6,1,Worst (not in list)
9653523,P023,1,0,
9653524,P004,6,1,Worst (not in list)
9653525,P011,3,0,
9653526,P002,2,0,
9653527,P012,1,0,
9653528,P001,6,1,Worst (not in list)
9653529,P031,3,0,
9653530,P027,6,1,Worst (not in list)
9653531,P009,4,0,
9653532,P037,1,0,
9653533,P026,6,1,Worst (not in list)
9653534,P030,6,1,Worst (not in list)
9653535,P007,1,0,
9653536,P024,1,0,
9653537,P024,4,0,
9653538,P012,2,0,
9653539,P028,1,0,
9653540,P029,1,0,
9653541,P004,6,1,Worst (not in list)
9653542,P027,6,1,Worst (not in list)
9653543,P036,5,0,
9653544,P002,3,0,
9653545,P015,6,1,Worst (not in list)
9653546,P013,6,1,Worst (not in list)
9653547,P015,3,0,
9653548,P034,6,1,Worst (not in list)
9653549,P026,6,1,Worst (not in list)
9653550,P012,3,0,
9653551,P019,4,0,
9653552,P019,3,0,
9653553,P014,6,1,Worst (not in list)
9653554,P001,6,1,Worst (not in list)
9653555,P008,5,0,
9653556,P011,6,1,Worst (not in list)
9653557,P028,1,0,
9653558,P017,1,0,
9653559,P011,1,0,
9653560,P016,6,1,Worst (not in list)
9653561,P017,2,0,
9653562,P018,2,0,
9653563,P029,3,0,
9653564,P029,5,0,
9653565,P003,1,0,
9653566,P012,5,0,
9653567,P019,6,1,Worst (not in list)
9653568,P022,5,0,
9653569,P011,2,0,
9653570,P006,5,0,
9653571,P017,1,0,
9653572,P004,4,0,
9653573,P014,4,0,
9653574,P018,6,1,Worst (not in list)
9653575,P010,6,1,Worst (not in list)
9653576,P010,4,0,
9653577,P029,6,1,Worst (not in list)
9653578,P010,3,0,
9653579,P005,1,0,
9653580,P019,2,0,
9653581,P025,5,0,
9653582,P026,6,1,Worst (not in list)
9653583,P003,1,0,
9653584,P033,4,0,
9653585,P006,6,1,Worst (not in list)
9653586,P001,6,1,Worst (not in list)
9653587,P025,4,0,
9653588,P014,6,1,Worst (not in list)
9653589,P033,6,1,Worst (not in list)
9653590,P004,5,0,
9653591,P024,2,0,
9653592,P036,4,0,
9653593,P032,2,0,
9653594,P002,6,1,Worst (not in list)
9653595,P018,6,1,Worst (not in list)
9653596,P013,3,0,
9653597,P034,5,0,
9653598,P034,6,1,Worst (not in list)
9653599,P013,4,0,
9653600,P007,1,0,
9653601,P006,2,0,
9653602,P033,5,0,
9653603,P031,3,0,
9653604,P005,2,0,
9653605,P008,5,0,
9653606,P024,1,0,
9653607,P031,1,0,
9653608,P020,1,0,
